Object Histogram:

Size	Count	Class description
-------------------------------------------------------
47686192	51242	char[]
3362408	18155	* ConstMethodKlass
2292576	95524	java.util.Hashtable$Entry
1892624	52175	org.python.core.PyObject[]
1576776	65699	java.lang.String
1245704	19261	java.lang.String[]
1105464	1429	* ConstantPoolKlass
1044624	10186	java.util.Hashtable$Entry[]
1036344	43181	org.python.core.PyString
1016752	18155	* MethodKlass
982120	27601	* SymbolKlass
977280	12216	java.lang.reflect.Method
765920	1279	* ConstantPoolCacheKlass
708864	22152	java.lang.ref.Finalizer
690520	1429	* InstanceKlassKlass
653760	27240	org.python.core.PyList
645000	1749	byte[]
610368	6358	sun.awt.X11.WindowPropertyGetter
544320	13608	org.python.core.PyStringMap
436080	27255	org.python.core.PyInteger
406960	10174	java.util.Hashtable
395136	7382	int[]
355824	6354	sun.awt.X11.XQueryTree
347760	21735	java.lang.Long
300816	4178	org.python.core.PyTableCode
276816	1779	short[]
251472	10478	java.util.HashMap$Entry
249200	2310	java.util.HashMap$Entry[]
248184	10341	org.python.core.PyInstance
247432	13978	java.lang.Class[]
224360	5852	java.lang.Object[]
210880	6590	org.python.core.ReflectedArgs
204912	2846	java.lang.reflect.Field
176272	11017	org.python.core.PyTuple
174976	5468	org.python.core.PyReflectedFunction
171120	4278	org.python.core.PyFunction
149120	2330	java.lang.reflect.Constructor
146560	9160	org.python.core.PyDictionary
145816	1657	java.lang.Class
143856	8991	org.python.proxies.leoNodes$position$1
126848	3964	java.lang.ref.SoftReference
123408	2541	java.lang.Object[]
103144	5710	org.python.core.ReflectedArgs[]
92000	2300	java.util.HashMap
79392	3308	java.awt.Rectangle
77504	173	javax.swing.JMenuItem
76032	1188	javax.swing.text.LabelView
74624	848	javax.swing.text.ParagraphView$Row
73440	2295	java.util.TreeMap$Entry
70416	2934	javax.swing.SizeRequirements
63072	219	* ObjArrayKlassKlass
56448	504	javax.swing.text.ParagraphView
54360	755	org.python.core.PyJavaClass
54304	1860	javax.swing.text.View[]
52800	2200	java.util.Vector
47712	1491	java.util.TreeMap$ValueIterator
37104	1546	java.util.ArrayList
36032	1126	javax.swing.text.AbstractDocument$LeafElement
35832	1493	sun.awt.X11.XDropTargetRegistry$1
35808	1492	java.util.AbstractList$Itr
32448	1014	org.python.core.PyBeanProperty
31192	557	org.python.core.PyClass
30752	961	org.python.core.PyJavaPackage
28224	441	org.python.core.BytecodeLoader2
25000	625	javax.swing.text.AbstractDocument$BranchElement
24168	53	javax.swing.JMenu$1
22368	699	javax.swing.text.GapContent$MarkData
22176	637	javax.swing.text.AbstractDocument$AbstractElement[]
21872	1367	java.lang.Integer
21776	1361	org.python.core.PyReflectedField
20160	504	javax.swing.text.FlowView$LogicalView
18176	568	org.python.core.PyMethod
17784	28	double[]
16520	35	javax.swing.JMenu
16448	1028	javax.swing.event.EventListenerList
16272	226	javax.swing.plaf.basic.BasicMenuItemUI
15840	36	javax.swing.JButton
15408	214	javax.swing.JMenuItem$AccessibleJMenuItem
15120	270	sun.reflect.DelegatingClassLoader
14848	32	javax.swing.plaf.metal.MetalScrollButton
14208	592	sun.reflect.NativeMethodAccessorImpl
14160	590	sun.reflect.NativeConstructorAccessorImpl
13200	825	sun.reflect.DelegatingMethodAccessorImpl
12528	783	java.util.HashSet
12240	34	javax.swing.JPopupMenu
11344	556	java.awt.Component[]
11160	465	javax.swing.KeyStroke
10784	636	java.beans.PropertyChangeListener[]
10752	336	javax.swing.DefaultButtonModel
10544	659	javax.swing.ArrayTable
10320	645	javax.swing.text.GapContent$StickyPosition
10240	32	javax.swing.JPanel
10176	424	java.beans.PropertyChangeSupport
10176	636	sun.awt.EventListenerAggregate
10032	627	sun.reflect.DelegatingConstructorAccessorImpl
9552	199	sun.java2d.loops.Blit
8880	370	org.python.core.PyArray
8856	27	javax.swing.JPopupMenu$Separator
8800	100	sun.font.Type1Font
8640	360	java.lang.ref.PhantomReference
8640	360	sun.java2d.DefaultDisposerRecord
8088	337	java.lang.ref.WeakReference
7824	163	sun.java2d.loops.ScaledBlit
7744	242	org.python.core.PyReflectedConstructor
7088	443	java.security.cert.Certificate[]
6960	58	sun.awt.image.ByteInterleavedRaster
6576	411	javax.swing.ActionMap
6288	35	long[]
